pid,lat,lon,address,formatted_address
ChIJCUasjcF-hYARZNho7gao_0E,37.8693669,-122.293196,1925 10TH ST,1925 Tenth Street+ Berkeley+ CA 94710+ USA
ChIJVcgS9sN-hYARgPX0uqJKB28,37.8722224,-122.2947838,1726 10TH ST,1726 Tenth Street+ Berkeley+ CA 94710+ USA
ChIJzw60fux-hYARhs_2Zc4KA-E,37.8636115,-122.2911292,2321 10TH ST,2321 Tenth Street+ Berkeley+ CA 94710+ USA
ChIJ0R-ufux-hYARS2aY2k25k-0,37.863579,-122.291235,2323 10TH ST,2323 Tenth Street+ Berkeley+ CA 94710+ USA
ChIJE5MZYsF-hYARZuEbmAJyiJs,37.8711123,-122.2936099,1809 10TH ST,1809 Tenth Street+ Berkeley+ CA 94710+ USA
ChIJc_bNicF-hYARRIiwlq9l7Do,37.8694734,-122.2936764,1920 10TH ST,1920 Tenth Street+ Berkeley+ CA 94710+ USA
ChIJxag-Fep-hYARWaVb9VJiutU,37.8671489,-122.2924582,2113 10TH ST,2113 Tenth Street+ Berkeley+ CA 94710+ USA
ChIJNcJsKMJ-hYARZO9YSvl5lFI,37.8696441,-122.2937871,1914 10TH ST,1914 Tenth Street+ Berkeley+ CA 94710+ USA
ChIJGVTdF-p-hYARItIXh7Vqa3I,37.866937,-122.2929676,2116 10TH ST,2116 Tenth Street+ Berkeley+ CA 94710+ USA
ChIJ3Szxs-t-hYARllnAl9L91p8,37.8657777,-122.2917716,2211 10TH ST,2211 Tenth Street+ Berkeley+ CA 94710+ USA
ChIJ5dnPtet-hYAR65wr5ebAKhU,37.8656708,-122.2921842,2215 10TH ST,2215 Tenth Street+ Berkeley+ CA 94710+ USA
ChIJq0N8j8F-hYARLEKFxh-T5Zo,37.8697575,-122.2932835,1911 10TH ST,1911 Tenth Street+ Berkeley+ CA 94710+ USA
ChIJl2-duh98hYARIUc4F-gQKuM,37.87891,-122.263387,2366 CEDAR ST,2366 Cedar St+ Berkeley+ CA 94708+ USA
ChIJDwV1VOx-hYARQ1jREzF3VEY,37.8616856,-122.2912511,2424 10TH ST,2424 Tenth Street+ Berkeley+ CA 94710+ USA
ChIJp3nWFSl8hYAR7OvpGHZH_cU,37.8649353,-122.2612679,2343 DWIGHT WAY,2343 Dwight Way+ Berkeley+ CA 94704+ USA
ChIJVZTGdyF8hYARBcjEDup_GUk,37.875555,-122.260543,1820 EUCLID AVE,1820 Euclid Ave+ Berkeley+ CA 94709+ USA
ChIJl_UEiut-hYARN9JfwywvqAg,37.8636497,-122.2920374,2314 10TH ST,2314 Tenth Street+ Berkeley+ CA 94710+ USA
EiUyMjEwIFdhcmQgU3QsIEJlcmtlbGV5LCBDQSA5NDcwNSwgVVNBIhsSGQoUChIJ5Xy0-ip8hYARi-m3HpY7ADQQohE,37.8596366,-122.2635666,2210 WARD ST,2210 Ward St+ Berkeley+ CA 94705+ USA
ChIJP2DL7ip8hYARdZn1U1FEuAA,37.8595188,-122.2634613,2212 WARD ST,2212 Ward St+ Berkeley+ CA 94705+ USA
ChIJA7OVBe1-hYARqTbawsMVK7Y,37.861161,-122.2904426,2449 10TH ST,2449 Tenth Street+ Berkeley+ CA 94710+ USA
ChIJCzUY_MN-hYARhJ3Z_kFsX5I,37.872182,-122.294019,1731 10TH ST,1731 Tenth Street+ Berkeley+ CA 94710+ USA
ChIJix8jSM59hYARb6C7nklD2tQ,37.8547377,-122.2525605,2700 PRINCE ST,2700 Prince St+ Berkeley+ CA 94705+ USA
ChIJS72FOM99hYARjnKO39mt-K4,37.854065,-122.2492811,2842 WOOLSEY ST,2842 Woolsey St+ Berkeley+ CA 94705+ USA
ChIJn4sOt899hYARCYxyVn07DBA,37.8537732,-122.2524275,2700 WOOLSEY ST,2700 Woolsey St+ Berkeley+ CA 94705+ USA
