name,zip,num/range,pattern,company,type,zip+4
65th St   ,94704,1200 to 1298,Even Only, , S,94702-2602
65th St   ,94704,1201 to 1299,Odd Only, , S,94702-2601
Cornell Ave   ,94704,1300 to 1398,Even Only, , S,94702-1010
Cornell Ave   ,94704,1301 to 1399,Odd Only, , S,94702-1009
Cornell Ave   ,94704,1400 to 1434,Even Only, , S,94702-1002
Cornell Ave   ,94704,1401 to 1435,Odd Only, , S,94702-1001
Cornell Ave   ,94704,1436 to 1498,Even Only, , S,94702-1036
Cornell Ave   ,94704,1437 to 1499,Odd Only, , S,94702-1035
Cornell Ave   ,94704,1500 to 1598,Even Only, , S,94702-1304
Cornell Ave   ,94704,1501 to 1599,Odd Only, , S,94702-1303
Cornell Ave   ,94704,1600 to 1698,Even Only, , S,94702-1306
Cornell Ave   ,94704,1601 to 1699,Odd Only, , S,94702-1305
Chestnut St   ,94704,1500 to 1598,Even Only, , S,94702-1133
Chestnut St   ,94704,1600 to 1698,Even Only, , S,94702-1430
Chestnut St   ,94704,1601 to 1623,Odd Only, , S,94702-1429
Chestnut St   ,94704,1625 to 1699,Odd Only, , S,94702-1460
Chestnut St   ,94704,1700 to 1724,Even Only, , S,94702-1432
Chestnut St   ,94704,1701 to 1723,Odd Only, , S,94702-1431
Chestnut St   ,94704,1725 to 1799,Odd Only, , S,94702-1461
Chestnut St   ,94704,1726 to 1798,Even Only, , S,94702-1462
Chestnut St   ,94704,1800 to 1898,Even Only, , S,94702-1405
Chestnut St   ,94704,1801 to 1899,Odd Only, , S,94702-1404
Chestnut St   ,94704,1900 to 1998,Even Only, , S,94702-1723
Chestnut St   ,94704,1901 to 1933,Odd Only, , S,94702-1722
Chestnut St   ,94704,1935 to 1999,Odd Only, , S,94702-1742
Chestnut St   ,94704,1951,, , H,94702-1701
Chestnut St   ,94704,1951,, , H,94702-1702
Chestnut St   ,94704,1951,, , H,94702-1746
Chestnut St   ,94704,1951,, , H,94702-1747
Chestnut St   ,94704,1951,, , H,94702-1756
Chestnut St   ,94704,1951,, , H,94702-1765
Chestnut St   ,94704,1951,, , H,94702-1791
Chestnut St   ,94704,1955,, , H,94702-1743
Chestnut St   ,94704,1955,, , H,94702-1744
Chestnut St   ,94704,1955,, , H,94702-1745
Chestnut St   ,94704,1955,, , H,94702-1757
Chestnut St   ,94704,1955,, , H,94702-1792
