rent_ceiling,unit_address,housing_services,tenancy_start_date,unit_status,bed,occ
"$1,275.00",1925 10TH ST #1,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",11/10/2017,RENTED - Rented or Available,0,1
"$1,381.05",1925 10TH ST #2,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",6/20/2016,RENTED - Rented or Available,0,1
$830.16,1925 10TH ST #3,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Storage, Water",5/14/2005,RENTED - Rented or Available,0,1
"$1,411.74",1925 10TH ST #4,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",12/11/2016,RENTED - Rented or Available,0,1
"$1,083.47",1925 10TH ST #5,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",5/10/2014,RENTED - Rented or Available,0,1
"$1,375.00",1925 10TH ST #6,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",8/5/2017,RENTED - Rented or Available,0,1
"$1,375.00",1925 10TH ST #7,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",5/11/2017,RENTED - Rented or Available,0,1
"$1,116.49",1925 10TH ST #8,"Electricity, Garbage, Gas, Laundry Access, Water",5/31/1980,RENTED - Rented or Available,1,0
"$1,381.05",1925 10TH ST #9,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",5/1/2016,RENTED - Rented or Available,0,1
"$1,395.00",1925 10TH ST #10,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",8/16/2017,RENTED - Rented or Available,0,1
"$1,400.00",1925 10TH ST #11,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",8/13/2017,RENTED - Rented or Available,0,1
"$1,348.63",1925 10TH ST #12,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",8/21/2015,RENTED - Rented or Available,0,1
"$1,157.46",1925 10TH ST #13,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",6/20/2014,RENTED - Rented or Available,0,1
"$1,024.27",1925 10TH ST #14,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",7/16/2013,RENTED - Rented or Available,0,1
n/a,1726 10TH ST #1,"Garbage, Sewer, Water",n/a,(~) MISC - Exempt-Misc since 12/1/2009,-1,-1
"$1,806.85",1726 10TH ST #2,"Garbage, Laundry Access, Parking, Water",11/22/2015,RENTED - Rented or Available,2,1
n/a,1726 10TH ST #3,(no active services),n/a,(~) MISC - Exempt-Misc since 12/1/2009,-1,-1
n/a,1726 10TH ST #4,"Garbage, Parking, Water",n/a,(~) MISC - Exempt-Misc since 12/1/2009,-1,-1
n/a,1726 10TH ST #5,"Garbage, Laundry Access, Parking, Water",n/a,(~) MISC - Exempt-Misc since 3/1/2010,-1,-1
"$1,535.10",1726 10TH ST #6,"Appliances, Garbage, Laundry Access, Parking, Water",5/1/2012,RENTED - Rented or Available,2,4
n/a,2321 10TH ST #A,"Appliances, Garbage, Laundry Access, Parking, Water",n/a,(~) MISC - Exempt-Misc since 12/22/2016,-1,-1
n/a,2321 10TH ST #B,"Garbage, Laundry Access, Other, Parking, Water",n/a,OOCC - Owner Occupied since 10/18/2016,-1,-1
$641.51,2321 10TH ST #C,"Garbage, Laundry Access, Parking, Water",n/a,RENTED - Rented or Available since 4/1/1987,1,-1
"$1,318.55",2321 10TH ST #D,"Garbage, Laundry Access, Water",11/1/2006,RENTED - Rented or Available,2,1
n/a,2323 10TH ST #E,"Garbage, Laundry Access, Parking",n/a,(~) MISC - Exempt-Misc since 11/1/2009,-1,-1
n/a,2323 10TH ST #F,"Electricity, Garbage, Laundry Access, Parking",n/a,(~) MISC - Exempt-Misc since 11/1/2009,-1,-1
n/a,2323 10TH ST #G,"Appliances, Garbage, Laundry Access",n/a,(~) MISC - Exempt-Misc since 10/1/2009,-1,-1
n/a,2323 10TH ST #H,"Garbage, Laundry Access, Parking",n/a,(~) MISC - Exempt-Misc since 11/1/2009,-1,-1
n/a,1809 10TH ST #1,(no active services),n/a,NAR - Not Available for Rent since 6/28/1990,-1,-1
n/a,1809 10TH ST #2,(no active services),n/a,NAR - Not Available for Rent since 5/1/2006,-1,-1
n/a,1809 10TH ST #3,(no active services),n/a,NAR - Not Available for Rent since 6/28/1990,-1,-1
n/a,1809 10TH ST #4,(no active services),n/a,NAR - Not Available for Rent since 6/28/1990,-1,-1
n/a,1809 10TH ST #5,Garbage,n/a,NAR - Not Available for Rent since 12/14/1993,-1,-1
n/a,1809 10TH ST #6,Garbage,n/a,NAR - Not Available for Rent since 5/1/2006,-1,-1
n/a,1809 10TH ST #7,(no active services),n/a,NAR - Not Available for Rent since 6/28/1990,-1,-1
n/a,1809 10TH ST #8,Garbage,n/a,NAR - Not Available for Rent since 12/14/1993,-1,-1
"$1,558.31",1920 10TH ST #2,"Appliances, Garbage, Gas, Heat, Water",4/1/2006,RENTED - Rented or Available,3,2
$728.99,1920 10TH ST #3,"Appliances, Garbage, Parking, Water",2/14/2015,RENTED - Rented or Available,1,1
"$1,374.14",1920 10TH ST #4,"Appliances, Cable TV, Garbage, Parking, Water",1/31/2014,RENTED - Rented or Available,1,1
"$2,245.49",2113 10TH ST #1,"Garbage, Laundry Access, Parking, Water",11/8/2016,RENTED - Rented or Available,2,2
"$1,580.27",2113 10TH ST #2,"Appliances, Laundry Access, Parking, Water",8/1/2014,RENTED - Rented or Available,2,2
"$1,580.27",2113 10TH ST #3,"Appliances, Gas, Laundry Access, Parking, Water",4/2/2014,RENTED - Rented or Available,2,2
$952.88,2113 10TH ST #4,"Garbage, Laundry Access, Parking, Water",6/11/1998,RENTED - Rented or Available,2,0
"$1,019.69",2113 10TH ST #5,"Appliances, Garbage, Laundry Access, Parking, Water",2/16/2010,RENTED - Rented or Available,1,3
"$2,040.89",2113 10TH ST #6,"Appliances, Garbage, Laundry Access, Parking, Water",11/1/2016,RENTED - Rented or Available,2,2
"$1,396.23",2113 10TH ST #7,"Appliances, Garbage, Laundry Access, Parking, Water",8/10/2013,RENTED - Rented or Available,2,2
"$1,995.00",2113 10TH ST #8,"Garbage, Heat, Laundry Access, Parking, Water",12/15/2017,RENTED - Rented or Available,2,2
"$1,313.37",2113 10TH ST #9,"Appliances, Parking",n/a,RENTED - Rented or Available since 7/1/2010,2,-1
"$1,995.00",2113 10TH ST #10,"Garbage, Heat, Laundry Access, Parking, Water",12/1/2017,RENTED - Rented or Available,2,1
"$1,648.21",1914 10TH ST #A,"Garbage, Parking",12/1/2006,RENTED - Rented or Available,2,4
n/a,1914 10TH ST #B,"Garbage, Parking, Water",n/a,(~) MISC - Exempt-Misc since 3/17/2010,-1,-1
"$1,616.96",1914 10TH ST #C,Garbage,10/18/2011,RENTED - Rented or Available,2,4
"$2,114.07",1914 10TH ST #D,"Appliances, Garbage, Laundry Access, Parking",12/31/2014,RENTED - Rented or Available,2,2
"$1,114.64",2116 10TH ST #A,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Water",1/1/2004,RENTED - Rented or Available,1,3
$0.00,2116 10TH ST #B,(no active services),n/a,RENTED - Rented or Available since 6/29/2012,1,-1
n/a,2116 10TH ST #C,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Water",n/a,OOCC - Owner Occupied since 6/29/2012,-1,-1
"$1,917.30",2211 10TH ST,"Electricity, Garbage, Gas, Parking, Water",n/a,RENTED - Rented or Available since 3/21/1996,3,-1
$972.65,2215 10TH ST #1,"Garbage, Parking, Water",n/a,RENTED - Rented or Available since 5/1/1996,2,-1
"$1,139.64",2215 10TH ST #2,"Appliances, Garbage, Laundry Access, Parking, Water",10/15/2001,RENTED - Rented or Available,1,2
"$1,139.64",2215 10TH ST #3,"Appliances, Garbage, Laundry Access, Parking, Water",12/1/2002,RENTED - Rented or Available,1,1
"$1,300.40",2215 10TH ST #4,"Appliances, Parking, Water",6/1/2004,RENTED - Rented or Available,2,2
