unit_address,tenancy_start_date,rent_ceiling,unit_status,housing_services,bed,occ
2836 MILVIA ST,8/1/2006,"$1,438.43",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,2,2
2838 MILVIA ST,3/1/2013,"$1,455.54",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",2,1
2840 MILVIA ST,3/1/2014,"$1,744.11",<p>RENTED - Rented or Available</p>,"<p>Garbage, Sewer</p>",2,2
2842 MILVIA ST,10/1/2012,"$1,425.46",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Sewer</p>",2,2
2870 MILVIA ST,12/1/2017,"$1,795.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access</p>",1,1
2872 MILVIA ST,11/1/2007,"$1,114.27",<p>RENTED - Rented or Available</p>,"<p>Garbage, Sewer</p>",1,1
2874 MILVIA ST,8/26/2016,"$1,841.40",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Sewer</p>",1,2
2876 MILVIA ST,10/21/2017,"$1,795.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access</p>",1,1
3200 ELLIS ST #UPPER,n/a,n/a,<p>OOCC - Owner Occupied since 4/1/2014</p>,"<p>Garbage, Water</p>",-1,-1
1714 FAIRVIEW ST #LOWER,n/a,n/a,<p>DUPLEX - Owner Occ duplex since 10/6/2016</p>,<p>(no active services)</p>,-1,-1
2900 ELLSWORTH ST,8/1/2014,"$1,057.04",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access</p>",0,3
2902 ELLSWORTH ST,7/1/2006,"$1,863.39",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Water</p>",2,2
2244 RUSSELL ST,10/1/2010,"$2,152.68",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Water</p>",3,3
2244 RUSSELL ST #1/2,6/1/2014,"$1,664.84",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,2
1620 MILVIA ST #A,12/1/2011,"$1,951.51",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Water</p>",2,2
1620 MILVIA ST #B,3/1/2017,"$2,600.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Parking, Water</p>",2,1
1620 MILVIA ST #C,n/a,n/a,<p>MISC - Exempt-Misc since 12/4/2015</p>,<p>(no active services)</p>,-1,-1
