address,rpo
1816 VIRGINIA ST,1344.4233333333332
1106 OXFORD ST,1318.2742857142857
1760 WALNUT ST,1119.3904545454548
1400 NORTHSIDE AVE,1587.5
1237 DWIGHT WAY,655.165
1511 MILVIA ST,1939.5600000000002
2756 ACTON ST,1356.91
2305 PARKER ST,971.8500000000001
1825 SPRUCE ST,1902.6699999999992
2320 PARKER ST,628.3625
1294 FRANCISCO ST,1500.3999999999999
1421 ARCH ST,1283.3333333333333
1686 OXFORD ST,2030.76
2443 MCKINLEY AVE,1747.5
1611 RUSSELL ST,756.3055555555555
1736 STUART ST,825.8071428571428
3024 DEAKIN ST,1050.6357142857144
2145 CEDAR ST,1480.795
1814 DERBY ST,875.29
1319 CORNELL AVE,988.93
2410 RUSSELL ST,2061.96
1519 HARMON ST,1559.515
900 SPRUCE ST,906.03
2001 EMERSON ST,657.9066666666666
2091 CALIFORNIA ST,1083.158163265306
900 CAMELIA ST,1100.0
2120 ROOSEVELT AVE,801.5000000000001
1301 HEARST AVE,989.4931818181817
1449 GRANT ST,2000.0
2532 REGENT ST,1123.79
2909 REGENT ST,993.99875
3131 HARPER ST,1124.67
1524 BERKELEY WAY,1277.0375
1738 SPRUCE ST,1332.7777777777778
1505 6TH ST,1038.66
1266 BANCROFT WAY,1507.7933333333333
1734 SPRUCE ST,987.5457142857142
1810 EUCLID AVE,1502.7021428571427
1321 ALCATRAZ AVE,1191.7966666666666
2912 HARPER ST,884.215
1685 OXFORD ST,2421.29
2330 GRANT ST,1223.66
908 THE ALAMEDA,1015.6542857142857
2334 CEDAR ST,1212.95
922 CAMELIA ST,724.8466666666667
2730 DERBY ST,1951.51
2730 WEBSTER ST,1057.035
1630 UNIVERSITY AVE,1156.7635714285714
2378 SACRAMENTO ST,1076.34
1787 FRANKLIN ST,1640.225
1830 DWIGHT WAY,1114.27
1738 STUART ST,1126.3042857142857
2715 BENVENUE AVE,1095.315
1936 HEARST AVE,1240.39
3230 SACRAMENTO ST,1185.99
2222 DURANT AVE,1140.0
1815 BLAKE ST,1559.515
1826 FAIRVIEW ST,1943.7
2436 8TH ST,993.145
1937 DWIGHT WAY,876.2266666666668
2311 BROWNING ST,821.025
1715 SPRUCE ST,1037.2911764705882
3100 COLLEGE AVE,1407.422
1523 JOSEPHINE ST,988.1
3019 BATEMAN ST,1066.1583333333333
2215 10TH ST,715.936
1212 ASHBY AVE,912.73
3260 CALIFORNIA ST,1100.0
2025 EMERSON ST,839.1
2132 ROOSEVELT AVE,820.8714285714285
2430 HILGARD AVE,780.33
1531 ALCATRAZ AVE,980.7111111111111
2523 RIDGE RD,1049.6814705882352
1115 WARD ST,1534.5
1640 7TH ST,767.55
1432 MILVIA ST,987.8100000000001
1761 SPRUCE ST,2046.0
2030 ESSEX ST,773.5533333333334
1525 SPRUCE ST,1898.9516666666668
1066 MILLER AVE,1875.0
1429 DWIGHT WAY,1272.635
902 GRAYSON ST,694.2766666666666
2321 7TH ST,1076.34
1743 SPRUCE ST,1050.0
1592 WARD ST,625.0
1816 8TH ST,1189.165
2415 VIRGINIA ST,1687.95
2511 HEARST AVE,1295.642244897959
2144 SACRAMENTO ST,1951.51
2211 DWIGHT WAY,948.69
1321 SPRUCE ST,1192.5885714285716
1614 MCGEE AVE,847.875
1909 DWIGHT WAY,896.256111111111
1226 DELAWARE ST,954.8333333333334
1541 DERBY ST,995.245
1910 BERKELEY WAY,743.43
2007 PRINCE ST,1976.1725000000001
1512 HARMON ST,924.358
2034 HEARST AVE,712.73
2114 GRANT ST,1700.0
1244 DELAWARE ST,1338.175
1491 UNIVERSITY AVE,1206.16
2911 LORINA ST,1155.9
3246 CALIFORNIA ST,870.5200000000001
1540 HEARST AVE,1093.3175
1619 GRANT ST,1014.381
1634 OXFORD ST,1072.732
2414 SACRAMENTO ST,979.3433333333332
2531 DANA ST,929.78125
2411 WARD ST,1176.35
2240 BLAKE ST,1161.6321698113209
1900 BERRYMAN ST,1841.4
2932 ADELINE ST,1350.67
2934 ADELINE ST,729.1142857142858
1144 HEARST AVE,886.03
1623 GRANT ST,880.6733333333333
1810 FRANCISCO ST,1529.625
1675 OXFORD ST,2008.36
1849 CEDAR ST,938.0875
1847 FRANCISCO ST,1329.9
1820 WEST ST,910.4541666666667
2307 BONAR ST,641.21
1731 SPRUCE ST,824.0336363636364
2418 ASHBY AVE,748.88
1434 ADDISON ST,983.89
2706 MCGEE AVE,819.205
2421 6TH ST,624.85
1337 HEARST AVE,557.57
2603 VIRGINIA ST,2431.18
2215 JEFFERSON AVE,1086.22
1632 PRINCE ST,1262.8533333333335
1423 WALNUT ST,979.4788888888888
2719 HILLEGASS AVE,791.7199999999999
2015 VINE ST,997.425
1735 VINE ST,1488.864
2441 CARLETON ST,1033.3333333333333
2541 PIEDMONT AVE,898.4250000000001
2112 10TH ST,1202.025
2618 HILLEGASS AVE,988.6136363636364
1458 HOPKINS ST,1251.275
2902 MABEL ST,1042.24
2112 BONAR ST,1104.1075
2367 PROSPECT ST,2499.39
1328 OXFORD ST,674.4125
1708 EUCLID AVE,1455.8138461538463
1239 PARKER ST,986.5633333333334
2223 DERBY ST,1518.31
2502 DWIGHT WAY,895.125
1672 OXFORD ST,1139.2110000000002
1943 MARIN AVE,1563.36
2128 5TH ST,1699.59
3250 CALIFORNIA ST,869.55
